#OTU ID	024_B2	074_B2	090_subseq	146_B1	153_B3	258_B3
TRINITY_DN144095_c1_g1_i3	170	0	0	0	0	331
TRINITY_DN142340_c0_g1_i1	3	0	0	7	0	1
TRINITY_DN137178_c1_g1_i1	0	0	5	2	0	0
TRINITY_DN137665_c1_g1_i6	5	0	1	0	6	1
TRINITY_DN141904_c4_g1_i1	0	0	0	0	41	1
TRINITY_DN145831_c5_g1_i5	0	0	2	0	0	4
TRINITY_DN145613_c33_g1_i2	0	64	13	7	0	9
TRINITY_DN142224_c5_g2_i1	0	7	0	1	0	0
TRINITY_DN141909_c3_g3_i1	2	0	1	3	0	2
TRINITY_DN132578_c2_g1_i1	1	0	0	0	28	0
TRINITY_DN141279_c11_g2_i1	2	37	0	0	0	0
TRINITY_DN145617_c0_g1_i12	20	0	0	30	0	0
TRINITY_DN141956_c4_g2_i1	2	0	47	15	0	0
TRINITY_DN146943_c0_g1_i1	4	12	1	5	0	6
TRINITY_DN142927_c7_g2_i2	1	0	1	1	0	0
TRINITY_DN144044_c6_g1_i2	1	0	1	6	0	8
TRINITY_DN141994_c15_g1_i1	4	0	1	0	0	2
TRINITY_DN145434_c4_g1_i8	3	0	0	2	0	1
TRINITY_DN140598_c0_g3_i3	1	0	0	26	0	0
TRINITY_DN141104_c10_g3_i4	0	0	0	1	31	0
TRINITY_DN139151_c4_g3_i7	6	0	0	0	0	20
TRINITY_DN142174_c7_g1_i1	2	0	2	0	1	1
TRINITY_DN140299_c1_g4_i1	0	0	1	0	0	1
TRINITY_DN140875_c1_g1_i3	1	0	4	2	0	1
TRINITY_DN145036_c19_g2_i2	1	5	12	3283	0	5
TRINITY_DN145841_c0_g1_i17	2	0	66	0	0	1
TRINITY_DN39610_c0_g1_i1	1	0	0	0	0	1
TRINITY_DN140488_c3_g4_i1	0	0	2	3	0	1
TRINITY_DN135592_c1_g1_i2	4	0	0	0	8	0
TRINITY_DN136273_c1_g1_i3	0	0	0	1	0	2
TRINITY_DN141904_c3_g3_i1	1	0	0	21	0	1
TRINITY_DN131057_c0_g1_i1	1	0	0	5	0	0
TRINITY_DN139980_c3_g1_i4	0	0	0	5	0	10
TRINITY_DN133942_c0_g1_i2	9	0	0	7	0	1
TRINITY_DN144460_c2_g1_i8	83	2	12	52	0	18
TRINITY_DN136830_c1_g2_i7	0	6	1	0	0	1
TRINITY_DN126822_c0_g1_i1	1	0	0	3	0	0
TRINITY_DN138141_c2_g1_i1	0	0	1	7	0	1
TRINITY_DN142271_c2_g1_i1	1	0	2	0	0	0
TRINITY_DN145228_c1_g1_i16	2	0	0	2	0	4
TRINITY_DN141075_c3_g1_i2	8	2	1	0	0	0
TRINITY_DN142038_c0_g1_i2	0	0	1	0	0	4
TRINITY_DN141541_c3_g1_i7	0	5	2	0	0	2
TRINITY_DN143183_c5_g1_i5	1	0	0	0	0	2
TRINITY_DN143335_c2_g2_i1	14	35	1	0	26	0
TRINITY_DN135563_c0_g1_i1	0	0	0	7	0	3
TRINITY_DN144618_c0_g1_i1	5	2	3	17	0	4
TRINITY_DN140068_c5_g1_i2	0	0	8	13	0	7
TRINITY_DN143367_c3_g1_i2	2	0	3	0	0	3
TRINITY_DN144751_c7_g1_i9	6	0	2	30	0	13
TRINITY_DN142438_c2_g2_i3	0	0	2	1	0	0
TRINITY_DN142438_c3_g3_i3	1	0	2	4	0	8
TRINITY_DN148666_c2_g1_i1	1	0	0	0	0	462
TRINITY_DN138767_c8_g1_i2	0	0	1	4	0	1
TRINITY_DN137080_c0_g1_i1	0	0	2	0	0	1
TRINITY_DN145599_c1_g1_i4	0	0	8	0	0	25
