tax.id	count
Alistipes 	1
Anaerostipes hadrus	1
Bacteroidaceae	1
Bacteroides	7
Bacteroides 	1
Bacteroides caccae	1
Bacteroides thetaiotaomicron 	1
Bacteroides uniformis 	1
best.classification	1
Blautia obeum	1
Blautia wexlerae	4
Caudovirales	2
Caudoviricetes sp	1
Caudoviricetes sp.	2
Coprococcus comes	1
Dorea formicigenerans 	1
Dorea longicatena 	2
Dysosmobacter sp.	1
Escherichia coli	1
Faecalibacterium prausnitzii	48
Lachnospiraceae	3
Myoviridae sp.	1
Neisseriaceae	1
Not assigned	2
Oscillospiraceae	1
Parabacteroides	3
Paraprevotella 	1
Phocaeicola	4
Phocaeicola vulgatus	1
Phocaeicola vulgatus 	1
Pseudoclostridium thermosuccinogenes	2
Pusillimonas faecalis	1
Romboutsia	1
Romboutsia ilealis	1
Roseburia intestinalis	1
Ruminococcus bicirculans	2
Ruminococcus torques	1
Ruthenibacterium lactatiformans	1
Sellimonas	1
Siphoviridae sp.	2
Uncultured human fecal virus clone	4
Wansuia hejianensis	1
