tax.id	count	type
Bacteroidaceae	1	Bacteria
Bacteroides	7	Bacteria
Bacteroides caccae	1	Bacteria
Bacteroides uniformis	1	Bacteria
Blautia wexlerae	3	Bacteria
Caudovirales	2	Virus
Caudoviricetes sp.	2	Virus
Coprococcus comes	1	Bacteria
Dorea formicigenerans	1	Bacteria
Dorea longicatena	1	Bacteria
Escherichia coli	1	Bacteria
Faecalibacterium prausnitzii	36	Bacteria
Lachnospiraceae	1	Bacteria
Oscillospiraceae	1	Bacteria
Parabacteroides	3	Bacteria
Phocaeicola	3	Bacteria
Phocaeicola vulgatus	2	Bacteria
Pseudoclostridium thermosuccinogenes	2	Bacteria
Romboutsia ilealis	1	Bacteria
Ruminococcus bicirculans	2	Bacteria
Ruminococcus torques	1	Bacteria
Ruthenibacterium lactatiformans	1	Bacteria
Siphoviridae sp.	2	Virus
Uncultured human fecal virus clone	2	Virus
