dose	repl	time	od_value
100 µg/mL	1	1	0.047
100 µg/mL	2	1	0.051
100 µg/mL	3	1	0.05
50 µg/mL	1	1	0.049
50 µg/mL	2	1	0.053
50 µg/mL	3	1	0.051
25 µg/mL	1	1	0.052
25 µg/mL	2	1	0.051
25 µg/mL	3	1	0.05
12.5 µg/mL	1	1	0.052
12.5 µg/mL	2	1	0.052
12.5 µg/mL	3	1	0.05
6.25 µg/mL	1	1	0.052
6.25 µg/mL	2	1	0.057
6.25 µg/mL	3	1	0.05
3.13 µg/mL	1	1	0.052
3.13 µg/mL	2	1	0.051
3.13 µg/mL	3	1	0.05
Control	1	1	0.053
Control	2	1	0.052
Control	3	1	0.05
100 µg/mL	1	2	0.051
100 µg/mL	2	2	0.055
100 µg/mL	3	2	0.052
50 µg/mL	1	2	0.055
50 µg/mL	2	2	0.057
50 µg/mL	3	2	0.056
25 µg/mL	1	2	0.057
25 µg/mL	2	2	0.059
25 µg/mL	3	2	0.058
12.5 µg/mL	1	2	0.06
12.5 µg/mL	2	2	0.06
12.5 µg/mL	3	2	0.06
6.25 µg/mL	1	2	0.06
6.25 µg/mL	2	2	0.059
6.25 µg/mL	3	2	0.06
3.13 µg/mL	1	2	0.058
3.13 µg/mL	2	2	0.06
3.13 µg/mL	3	2	0.06
Control	1	2	0.061
Control	2	2	0.06
Control	3	2	0.06
100 µg/mL	1	3	0.069
100 µg/mL	2	3	0.072
100 µg/mL	3	3	0.07
50 µg/mL	1	3	0.072
50 µg/mL	2	3	0.074
50 µg/mL	3	3	0.074
25 µg/mL	1	3	0.077
25 µg/mL	2	3	0.081
25 µg/mL	3	3	0.079
12.5 µg/mL	1	3	0.079
12.5 µg/mL	2	3	0.083
12.5 µg/mL	3	3	0.08
6.25 µg/mL	1	3	0.081
6.25 µg/mL	2	3	0.082
6.25 µg/mL	3	3	0.08
3.13 µg/mL	1	3	0.081
3.13 µg/mL	2	3	0.086
3.13 µg/mL	3	3	0.08
Control	1	3	0.082
Control	2	3	0.082
Control	3	3	0.08
100 µg/mL	1	4	0.1
100 µg/mL	2	4	0.112
100 µg/mL	3	4	0.105
50 µg/mL	1	4	0.106
50 µg/mL	2	4	0.112
50 µg/mL	3	4	0.108
25 µg/mL	1	4	0.112
25 µg/mL	2	4	0.118
25 µg/mL	3	4	0.115
12.5 µg/mL	1	4	0.121
12.5 µg/mL	2	4	0.122
12.5 µg/mL	3	4	0.121
6.25 µg/mL	1	4	0.121
6.25 µg/mL	2	4	0.121
6.25 µg/mL	3	4	0.12
3.13 µg/mL	1	4	0.115
3.13 µg/mL	2	4	0.122
3.13 µg/mL	3	4	0.117
Control	1	4	0.126
Control	2	4	0.129
Control	3	4	0.127
100 µg/mL	1	5	0.133
100 µg/mL	2	5	0.154
100 µg/mL	3	5	0.135
50 µg/mL	1	5	0.134
50 µg/mL	2	5	0.147
50 µg/mL	3	5	0.136
25 µg/mL	1	5	0.137
25 µg/mL	2	5	0.152
25 µg/mL	3	5	0.142
12.5 µg/mL	1	5	0.151
12.5 µg/mL	2	5	0.158
12.5 µg/mL	3	5	0.158
6.25 µg/mL	1	5	0.154
6.25 µg/mL	2	5	0.162
6.25 µg/mL	3	5	0.155
3.13 µg/mL	1	5	0.148
3.13 µg/mL	2	5	0.169
3.13 µg/mL	3	5	0.155
Control	1	5	0.174
Control	2	5	0.183
Control	3	5	0.178
100 µg/mL	1	6	0.153
100 µg/mL	2	6	0.174
100 µg/mL	3	6	0.16
