dose	repl	time	od_value
100 µg/mL	1	1	0.048
100 µg/mL	2	1	0.049
100 µg/mL	3	1	0.047
50 µg/mL	1	1	0.048
50 µg/mL	2	1	0.048
50 µg/mL	3	1	0.047
25 µg/mL	1	1	0.05
25 µg/mL	2	1	0.05
25 µg/mL	3	1	0.05
12.5 µg/mL	1	1	0.05
12.5 µg/mL	2	1	0.05
12.5 µg/mL	3	1	0.05
6.25 µg/mL	1	1	0.052
6.25 µg/mL	2	1	0.051
6.25 µg/mL	3	1	0.05
3.13 µg/mL	1	1	0.051
3.13 µg/mL	2	1	0.05
3.13 µg/mL	3	1	0.05
Control	1	1	0.052
Control	2	1	0.053
Control	3	1	0.05
100 µg/mL	1	2	0.05
100 µg/mL	2	2	0.051
100 µg/mL	3	2	0.052
50 µg/mL	1	2	0.05
50 µg/mL	2	2	0.049
50 µg/mL	3	2	0.049
25 µg/mL	1	2	0.052
25 µg/mL	2	2	0.051
25 µg/mL	3	2	0.052
12.5 µg/mL	1	2	0.052
12.5 µg/mL	2	2	0.052
12.5 µg/mL	3	2	0.051
6.25 µg/mL	1	2	0.053
6.25 µg/mL	2	2	0.051
6.25 µg/mL	3	2	0.05
3.13 µg/mL	1	2	0.052
3.13 µg/mL	2	2	0.051
3.13 µg/mL	3	2	0.053
Control	1	2	0.057
Control	2	2	0.057
Control	3	2	0.056
100 µg/mL	1	3	0.06
100 µg/mL	2	3	0.062
100 µg/mL	3	3	0.061
50 µg/mL	1	3	0.058
50 µg/mL	2	3	0.058
50 µg/mL	3	3	0.057
25 µg/mL	1	3	0.063
25 µg/mL	2	3	0.061
25 µg/mL	3	3	0.063
12.5 µg/mL	1	3	0.067
12.5 µg/mL	2	3	0.065
12.5 µg/mL	3	3	0.066
6.25 µg/mL	1	3	0.07
6.25 µg/mL	2	3	0.067
6.25 µg/mL	3	3	0.07
3.13 µg/mL	1	3	0.069
3.13 µg/mL	2	3	0.07
3.13 µg/mL	3	3	0.071
Control	1	3	0.075
Control	2	3	0.074
Control	3	3	0.073
100 µg/mL	1	4	0.086
100 µg/mL	2	4	0.086
100 µg/mL	3	4	0.085
50 µg/mL	1	4	0.089
50 µg/mL	2	4	0.085
50 µg/mL	3	4	0.087
25 µg/mL	1	4	0.095
25 µg/mL	2	4	0.093
25 µg/mL	3	4	0.094
12.5 µg/mL	1	4	0.097
12.5 µg/mL	2	4	0.096
12.5 µg/mL	3	4	0.097
6.25 µg/mL	1	4	0.101
6.25 µg/mL	2	4	0.097
6.25 µg/mL	3	4	0.098
3.13 µg/mL	1	4	0.101
3.13 µg/mL	2	4	0.097
3.13 µg/mL	3	4	0.1
Control	1	4	0.113
Control	2	4	0.109
Control	3	4	0.112
100 µg/mL	1	5	0.103
100 µg/mL	2	5	0.109
100 µg/mL	3	5	0.107
50 µg/mL	1	5	0.113
50 µg/mL	2	5	0.107
50 µg/mL	3	5	0.11
25 µg/mL	1	5	0.123
25 µg/mL	2	5	0.12
25 µg/mL	3	5	0.121
12.5 µg/mL	1	5	0.127
12.5 µg/mL	2	5	0.124
12.5 µg/mL	3	5	0.125
6.25 µg/mL	1	5	0.134
6.25 µg/mL	2	5	0.13
6.25 µg/mL	3	5	0.131
3.13 µg/mL	1	5	0.127
3.13 µg/mL	2	5	0.126
3.13 µg/mL	3	5	0.128
Control	1	5	0.151
Control	2	5	0.145
Control	3	5	0.148
