sequence	group	net_charge	gravy_index
TRINITY_DN144483_c7_g1_i1.p5	our_amps	-0.327294938	0.628571429
TRINITY_DN131149_c0_g2_i1.p2	our_amps	3.8442688	0.048571429
TRINITY_DN138312_c4_g6_i3.p2	our_amps	-8.082324756	-0.583333333
TRINITY_DN139333_c4_g6_i1.p1	our_amps	1.022301247	-0.563917526
TRINITY_DN142511_c2_g2_i11.p5	our_amps	-0.159702966	-1.494117647
TRINITY_DN138200_c2_g1_i1.p2	our_amps	6.471451157	-0.413888889
TRINITY_DN145252_c3_g1_i1.p1	our_amps	-1.995433937	-0.482191781
TRINITY_DN142922_c7_g5_i2.p1	our_amps	-3.195137014	0.456578947
TRINITY_DN144415_c2_g1_i4.p3	our_amps	-0.233942182	-0.713793103
TRINITY_DN144673_c2_g1_i6.p4	our_amps	-0.238974166	-0.370588235
TRINITY_DN137631_c5_g1_i2.p3	our_amps	5.952524862	0.2625
TRINITY_DN145839_c0_g1_i20.p2	our_amps	1.028382843	-0.658139535
TRINITY_DN144291_c5_g7_i1.p3	our_amps	-1.157471444	-0.965
TRINITY_DN144384_c5_g1_i3.p1	our_amps	0.851329941	0.144
TRINITY_DN136668_c3_g2_i2.p10	our_amps	-0.510545304	2.05
TRINITY_DN136118_c0_g1_i1.p1	our_amps	6.486352913	-0.925
TRINITY_DN143096_c2_g1_i1.p6	our_amps	5.753098607	-1.553846154
TRINITY_DN145291_c1_g1_i10.p4	our_amps	1.761893075	-1.34
TRINITY_DN136903_c2_g1_i6.p1	our_amps	-2.251265186	0.04556962
TRINITY_DN137350_c1_g1_i5.p2	our_amps	4.820881256	-0.263829787
TRINITY_DN391824_c1_g1_i1.p3	our_amps	0.847509322	-0.388888889
TRINITY_DN130289_c0_g1_i1.p1	our_amps	0.510159671	0.122727273
TRINITY_DN134643_c0_g1_i1.p1	our_amps	6.843063258	1.104411765
TRINITY_DN1091132_c10_g1_i1.p3	our_amps	5.664575533	-0.183333333
TRINITY_DN143457_c1_g1_i1.p2	our_amps	-2.46704695	0.37826087
TRINITY_DN133076_c0_g4_i1.p5	our_amps	-0.322262954	-0.823076923
TRINITY_DN127733_c0_g2_i2.p2	our_amps	-1.108761138	-0.420754717
TRINITY_DN136156_c0_g2_i2.p9	our_amps	2.758916072	-2.54
TRINITY_DN145373_c0_g1_i2.p5	our_amps	2.480619298	-1.635294118
TRINITY_DN131100_c0_g1_i5.p3	our_amps	-2.073087718	0.125
TRINITY_DN145655_c4_g1_i2.p3	our_amps	3.584457092	-0.042307692
TRINITY_DN143985_c1_g7_i1.p5	our_amps	2.761828294	-1.475
TRINITY_DN60060_c0_g9_i1.p12	our_amps	3.794679046	-2.92
TRINITY_DN129538_c3_g1_i1.p10	our_amps	0.501167148	0.245454545
TRINITY_DN145717_c0_g1_i3.p4	our_amps	1.481466927	-0.966666667
TRINITY_DN141713_c1_g2_i1.p1	our_amps	7.478675041	-0.694736842
TRINITY_DN141713_c1_g2_i3.p1	our_amps	7.478675041	-0.694736842
TRINITY_DN138543_c2_g6_i1.p4	our_amps	-0.238086925	0.585714286
TRINITY_DN144474_c1_g1_i1.p8	our_amps	0.499355687	1.49
TRINITY_DN145389_c1_g1_i12.p8	our_amps	1.506394427	0.466666667
TRINITY_DN151468_c5_g1_i1.p8	our_amps	1.506394427	0.466666667
TRINITY_DN145458_c4_g1_i1.p8	our_amps	1.506394427	0.466666667
TRINITY_DN92149_c2_g3_i1.p6	our_amps	-1.50492438	0.158333333
TRINITY_DN144823_c1_g2_i1.p4	our_amps	1.586519875	-0.742857143
TRINITY_DN145548_c1_g1_i5.p4	our_amps	1.506384427	0.333333333
TRINITY_DN145477_c0_g1_i4.p4	our_amps	-1.262090387	0.02
TRINITY_DN145304_c3_g1_i2.p5	our_amps	2.849879724	-1.3
TRINITY_DN145264_c2_g1_i1.p4	our_amps	-0.602802407	1.722727273
TRINITY_DN144811_c2_g1_i2.p6	our_amps	0.763013836	-0.75
TRINITY_DN145741_c0_g1_i2.p5	our_amps	1.762014835	-0.886956522
TRINITY_DN144747_c1_g1_i4.p3	our_amps	3.759139592	-1.719230769
TRINITY_DN142174_c7_g1_i1.p1	our_amps	2.762126595	-1.762962963
