sequence	GRAVY index
>TRINITY_DN144483_c7_g1_i1.p5 TRINITY_DN144483_c7_g1~~TRINITY_DN144483_c7_g1_i1.p5  ORF type:3prime_partial len:22 (-),score=2.86 TRINITY_DN144483_c7_g1_i1:3-65(-)	0.6285714285714286
>TRINITY_DN131149_c0_g2_i1.p2 TRINITY_DN131149_c0_g2~~TRINITY_DN131149_c0_g2_i1.p2  ORF type:5prime_partial len:36 (-),score=3.88 TRINITY_DN131149_c0_g2_i1:461-568(-)	0.04857142857142857
>TRINITY_DN138312_c4_g6_i3.p2 TRINITY_DN138312_c4_g6~~TRINITY_DN138312_c4_g6_i3.p2  ORF type:5prime_partial len:67 (+),score=10.08 TRINITY_DN138312_c4_g6_i3:2-202(+)	-0.5833333333333334
>TRINITY_DN139333_c4_g6_i1.p1 TRINITY_DN139333_c4_g6~~TRINITY_DN139333_c4_g6_i1.p1  ORF type:complete len:98 (-),score=31.47 TRINITY_DN139333_c4_g6_i1:345-638(-)	-0.5639175257731959
>TRINITY_DN142511_c2_g2_i11.p5 TRINITY_DN142511_c2_g2~~TRINITY_DN142511_c2_g2_i11.p5  ORF type:5prime_partial len:18 (-),score=1.89 TRINITY_DN142511_c2_g2_i11:376-429(-)	-1.4941176470588236
>TRINITY_DN138200_c2_g1_i1.p2 TRINITY_DN138200_c2_g1~~TRINITY_DN138200_c2_g1_i1.p2  ORF type:complete len:73 (+),score=2.95 TRINITY_DN138200_c2_g1_i1:454-672(+)	-0.4138888888888889
>TRINITY_DN145252_c3_g1_i1.p1 TRINITY_DN145252_c3_g1~~TRINITY_DN145252_c3_g1_i1.p1  ORF type:5prime_partial len:74 (+),score=5.14 TRINITY_DN145252_c3_g1_i1:1-222(+)	-0.4821917808219178
>TRINITY_DN142922_c7_g5_i2.p1 TRINITY_DN142922_c7_g5~~TRINITY_DN142922_c7_g5_i2.p1  ORF type:5prime_partial len:77 (+),score=21.64 TRINITY_DN142922_c7_g5_i2:2-232(+)	0.4565789473684211
>TRINITY_DN144415_c2_g1_i4.p3 TRINITY_DN144415_c2_g1~~TRINITY_DN144415_c2_g1_i4.p3  ORF type:5prime_partial len:30 (+),score=6.70 TRINITY_DN144415_c2_g1_i4:1-90(+)	-0.7137931034482758
>TRINITY_DN144673_c2_g1_i6.p4 TRINITY_DN144673_c2_g1~~TRINITY_DN144673_c2_g1_i6.p4  ORF type:5prime_partial len:18 (-),score=4.55 TRINITY_DN144673_c2_g1_i6:192-245(-)	-0.37058823529411766
>TRINITY_DN137631_c5_g1_i2.p3 TRINITY_DN137631_c5_g1~~TRINITY_DN137631_c5_g1_i2.p3  ORF type:5prime_partial len:33 (-),score=6.01 TRINITY_DN137631_c5_g1_i2:338-436(-)	0.2625
>TRINITY_DN145839_c0_g1_i20.p2 TRINITY_DN145839_c0_g1~~TRINITY_DN145839_c0_g1_i20.p2  ORF type:5prime_partial len:44 (-),score=5.17 TRINITY_DN145839_c0_g1_i20:103-234(-)	-0.6581395348837209
>TRINITY_DN144291_c5_g7_i1.p3 TRINITY_DN144291_c5_g7~~TRINITY_DN144291_c5_g7_i1.p3  ORF type:5prime_partial len:21 (-),score=3.87 TRINITY_DN144291_c5_g7_i1:125-187(-)	-0.9650000000000001
