sequence	Net charge at pH 7
TRINITY_DN144483_c7_g1_i1.p5 TRINITY_DN144483_c7_g1~~TRINITY_DN144483_c7_g1_i1.p5  ORF type:3prime_partial len:22 (-),score=2.86 TRINITY_DN144483_c7_g1_i1:3-65(-)	-0.3272949379474833
TRINITY_DN131149_c0_g2_i1.p2 TRINITY_DN131149_c0_g2~~TRINITY_DN131149_c0_g2_i1.p2  ORF type:5prime_partial len:36 (-),score=3.88 TRINITY_DN131149_c0_g2_i1:461-568(-)	3.8442687995468865
TRINITY_DN138312_c4_g6_i3.p2 TRINITY_DN138312_c4_g6~~TRINITY_DN138312_c4_g6_i3.p2  ORF type:5prime_partial len:67 (+),score=10.08 TRINITY_DN138312_c4_g6_i3:2-202(+)	-8.082324755750037
TRINITY_DN139333_c4_g6_i1.p1 TRINITY_DN139333_c4_g6~~TRINITY_DN139333_c4_g6_i1.p1  ORF type:complete len:98 (-),score=31.47 TRINITY_DN139333_c4_g6_i1:345-638(-)	1.0223012465171593
TRINITY_DN142511_c2_g2_i11.p5 TRINITY_DN142511_c2_g2~~TRINITY_DN142511_c2_g2_i11.p5  ORF type:5prime_partial len:18 (-),score=1.89 TRINITY_DN142511_c2_g2_i11:376-429(-)	-0.1597029656410669
TRINITY_DN138200_c2_g1_i1.p2 TRINITY_DN138200_c2_g1~~TRINITY_DN138200_c2_g1_i1.p2  ORF type:complete len:73 (+),score=2.95 TRINITY_DN138200_c2_g1_i1:454-672(+)	6.471451156777411
TRINITY_DN145252_c3_g1_i1.p1 TRINITY_DN145252_c3_g1~~TRINITY_DN145252_c3_g1_i1.p1  ORF type:5prime_partial len:74 (+),score=5.14 TRINITY_DN145252_c3_g1_i1:1-222(+)	-1.9954339369250675
TRINITY_DN142922_c7_g5_i2.p1 TRINITY_DN142922_c7_g5~~TRINITY_DN142922_c7_g5_i2.p1  ORF type:5prime_partial len:77 (+),score=21.64 TRINITY_DN142922_c7_g5_i2:2-232(+)	-3.195137013806164
TRINITY_DN144415_c2_g1_i4.p3 TRINITY_DN144415_c2_g1~~TRINITY_DN144415_c2_g1_i4.p3  ORF type:5prime_partial len:30 (+),score=6.70 TRINITY_DN144415_c2_g1_i4:1-90(+)	-0.23394218174174952
TRINITY_DN144673_c2_g1_i6.p4 TRINITY_DN144673_c2_g1~~TRINITY_DN144673_c2_g1_i6.p4  ORF type:5prime_partial len:18 (-),score=4.55 TRINITY_DN144673_c2_g1_i6:192-245(-)	-0.23897416579464625
TRINITY_DN137631_c5_g1_i2.p3 TRINITY_DN137631_c5_g1~~TRINITY_DN137631_c5_g1_i2.p3  ORF type:5prime_partial len:33 (-),score=6.01 TRINITY_DN137631_c5_g1_i2:338-436(-)	5.952524861684349
TRINITY_DN145839_c0_g1_i20.p2 TRINITY_DN145839_c0_g1~~TRINITY_DN145839_c0_g1_i20.p2  ORF type:5prime_partial len:44 (-),score=5.17 TRINITY_DN145839_c0_g1_i20:103-234(-)	1.0283828430972193
TRINITY_DN144291_c5_g7_i1.p3 TRINITY_DN144291_c5_g7~~TRINITY_DN144291_c5_g7_i1.p3  ORF type:5prime_partial len:21 (-),score=3.87 TRINITY_DN144291_c5_g7_i1:125-187(-)	-1.1574714436613789
TRINITY_DN144384_c5_g1_i3.p1 TRINITY_DN144384_c5_g1~~TRINITY_DN144384_c5_g1_i3.p1  ORF type:complete len:51 (+),score=2.02 TRINITY_DN144384_c5_g1_i3:79-231(+)	0.8513299414972746
TRINITY_DN136668_c3_g2_i2.p10 TRINITY_DN136668_c3_g2~~TRINITY_DN136668_c3_g2_i2.p10  ORF type:complete len:11 (-),score=1.27 TRINITY_DN136668_c3_g2_i2:99-131(-)	-0.510545303556666
TRINITY_DN136118_c0_g1_i1.p1 TRINITY_DN136118_c0_g1~~TRINITY_DN136118_c0_g1_i1.p1  ORF type:complete len:45 (+),score=5.71 TRINITY_DN136118_c0_g1_i1:78-212(+)	6.486352912763379
TRINITY_DN143096_c2_g1_i1.p6 TRINITY_DN143096_c2_g1~~TRINITY_DN143096_c2_g1_i1.p6  ORF type:5prime_partial len:14 (+),score=1.69 TRINITY_DN143096_c2_g1_i1:3-44(+)	5.753098607296295
TRINITY_DN145291_c1_g1_i10.p4 TRINITY_DN145291_c1_g1~~TRINITY_DN145291_c1_g1_i10.p4  ORF type:5prime_partial len:11 (+),score=0.58 TRINITY_DN145291_c1_g1_i10:2-34(+)	1.7618930753635103
TRINITY_DN136903_c2_g1_i6.p1 TRINITY_DN136903_c2_g1~~TRINITY_DN136903_c2_g1_i6.p1  ORF type:5prime_partial len:80 (+),score=5.72 TRINITY_DN136903_c2_g1_i6:1-240(+)	-2.2512651858195802
